date,station,CO
01/01/2010,Jerusalem_Bar_Ilan,0.8
02/01/2010,Jerusalem_Bar_Ilan,0.8
03/01/2010,Jerusalem_Bar_Ilan,
04/01/2010,Jerusalem_Bar_Ilan,0.7
05/01/2010,Jerusalem_Bar_Ilan,0.7
06/01/2010,Jerusalem_Bar_Ilan,0.9
07/01/2010,Jerusalem_Bar_Ilan,1
08/01/2010,Jerusalem_Bar_Ilan,1.4
09/01/2010,Jerusalem_Bar_Ilan,0.8
10/01/2010,Jerusalem_Bar_Ilan,1.1
11/01/2010,Jerusalem_Bar_Ilan,1.1
12/01/2010,Jerusalem_Bar_Ilan,0.7
13/01/2010,Jerusalem_Bar_Ilan,0.9
14/01/2010,Jerusalem_Bar_Ilan,0.7
15/01/2010,Jerusalem_Bar_Ilan,0.9
16/01/2010,Jerusalem_Bar_Ilan,0.9
17/01/2010,Jerusalem_Bar_Ilan,0.8
18/01/2010,Jerusalem_Bar_Ilan,1.1
19/01/2010,Jerusalem_Bar_Ilan,0.6
20/01/2010,Jerusalem_Bar_Ilan,
21/01/2010,Jerusalem_Bar_Ilan,0.7
22/01/2010,Jerusalem_Bar_Ilan,0.8
23/01/2010,Jerusalem_Bar_Ilan,0.8
24/01/2010,Jerusalem_Bar_Ilan,
25/01/2010,Jerusalem_Bar_Ilan,0.7
26/01/2010,Jerusalem_Bar_Ilan,0.6
27/01/2010,Jerusalem_Bar_Ilan,1
28/01/2010,Jerusalem_Bar_Ilan,0.8
29/01/2010,Jerusalem_Bar_Ilan,0.8
30/01/2010,Jerusalem_Bar_Ilan,0.7
31/01/2010,Jerusalem_Bar_Ilan,0.6
01/02/2010,Jerusalem_Bar_Ilan,0.8
02/02/2010,Jerusalem_Bar_Ilan,1
03/02/2010,Jerusalem_Bar_Ilan,1.1
04/02/2010,Jerusalem_Bar_Ilan,0.8
05/02/2010,Jerusalem_Bar_Ilan,0.7
06/02/2010,Jerusalem_Bar_Ilan,0.7
07/02/2010,Jerusalem_Bar_Ilan,1
08/02/2010,Jerusalem_Bar_Ilan,1
09/02/2010,Jerusalem_Bar_Ilan,0.9
10/02/2010,Jerusalem_Bar_Ilan,0.8
11/02/2010,Jerusalem_Bar_Ilan,1.1
12/02/2010,Jerusalem_Bar_Ilan,1
13/02/2010,Jerusalem_Bar_Ilan,0.7
14/02/2010,Jerusalem_Bar_Ilan,1.2
15/02/2010,Jerusalem_Bar_Ilan,0.8
16/02/2010,Jerusalem_Bar_Ilan,0.9
17/02/2010,Jerusalem_Bar_Ilan,0.8
18/02/2010,Jerusalem_Bar_Ilan,1.2
19/02/2010,Jerusalem_Bar_Ilan,0.7
20/02/2010,Jerusalem_Bar_Ilan,0.7
21/02/2010,Jerusalem_Bar_Ilan,0.8
22/02/2010,Jerusalem_Bar_Ilan,0.8
23/02/2010,Jerusalem_Bar_Ilan,0.8
24/02/2010,Jerusalem_Bar_Ilan,0.9
25/02/2010,Jerusalem_Bar_Ilan,0.9
26/02/2010,Jerusalem_Bar_Ilan,0.9
27/02/2010,Jerusalem_Bar_Ilan,0.7
28/02/2010,Jerusalem_Bar_Ilan,0.7
01/03/2010,Jerusalem_Bar_Ilan,0.7
02/03/2010,Jerusalem_Bar_Ilan,0.8
03/03/2010,Jerusalem_Bar_Ilan,0.8
04/03/2010,Jerusalem_Bar_Ilan,0.7
05/03/2010,Jerusalem_Bar_Ilan,0.9
06/03/2010,Jerusalem_Bar_Ilan,0.8
07/03/2010,Jerusalem_Bar_Ilan,0.6
08/03/2010,Jerusalem_Bar_Ilan,1.1
09/03/2010,Jerusalem_Bar_Ilan,1
10/03/2010,Jerusalem_Bar_Ilan,0.8
11/03/2010,Jerusalem_Bar_Ilan,1.3
12/03/2010,Jerusalem_Bar_Ilan,1
13/03/2010,Jerusalem_Bar_Ilan,0.7
14/03/2010,Jerusalem_Bar_Ilan,0.7
15/03/2010,Jerusalem_Bar_Ilan,0.8
16/03/2010,Jerusalem_Bar_Ilan,0.8
17/03/2010,Jerusalem_Bar_Ilan,0.7
18/03/2010,Jerusalem_Bar_Ilan,0.8
19/03/2010,Jerusalem_Bar_Ilan,0.7
20/03/2010,Jerusalem_Bar_Ilan,0.7
21/03/2010,Jerusalem_Bar_Ilan,0.6
22/03/2010,Jerusalem_Bar_Ilan,0.8
23/03/2010,Jerusalem_Bar_Ilan,0.7
24/03/2010,Jerusalem_Bar_Ilan,0.7
25/03/2010,Jerusalem_Bar_Ilan,0.9
26/03/2010,Jerusalem_Bar_Ilan,0.8
27/03/2010,Jerusalem_Bar_Ilan,0.6
28/03/2010,Jerusalem_Bar_Ilan,0.6
29/03/2010,Jerusalem_Bar_Ilan,0.8
30/03/2010,Jerusalem_Bar_Ilan,0.8
31/03/2010,Jerusalem_Bar_Ilan,0.6
01/04/2010,Jerusalem_Bar_Ilan,0.9
02/04/2010,Jerusalem_Bar_Ilan,1
03/04/2010,Jerusalem_Bar_Ilan,0.8
04/04/2010,Jerusalem_Bar_Ilan,0.6
05/04/2010,Jerusalem_Bar_Ilan,0.7
06/04/2010,Jerusalem_Bar_Ilan,0.8
07/04/2010,Jerusalem_Bar_Ilan,1
08/04/2010,Jerusalem_Bar_Ilan,0.8
09/04/2010,Jerusalem_Bar_Ilan,0.9
