date_time,Jerusalem_Bar_Ilan,TLV_Yehuda_Hamacabi,Bnei_Brak_Jabotinsky,Bnei_brak_highway4,Rishon_Herzl,Ranana_Ahuza
40179,0.8,0.8,1.2,1.4,0.6,NoData
40180,0.8,0.8,1.1,1.4,0.9,NoData
40181,<Samp,1,1.7,1.9,1.1,NoData
40182,0.7,<Samp,1,1.4,0.9,NoData
40183,0.7,0.9,0.9,1.3,0.9,NoData
40184,0.9,1,1,1.6,0.9,NoData
40185,1,0.8,1.1,1.7,1.5,NoData
40186,1.4,1.1,2.6,2.7,1.6,NoData
40187,0.8,1.5,2.5,2.4,1.2,NoData
40188,1.1,0.6,1.8,2,1.1,NoData
40189,1.1,0.8,2.8,2.8,1.7,NoData
40190,0.7,<Samp,1.7,1.8,1.3,NoData
40191,0.9,0.7,<Samp,1.6,0.9,NoData
40192,0.7,0.7,<Samp,1.5,0.8,NoData
40193,0.9,0.9,1.2,1.4,0.9,NoData
40194,0.9,1,1.1,1.4,0.8,NoData
40195,0.8,1,1.5,1.8,1.1,NoData
40196,1.1,0.7,1.9,2.2,1.2,NoData
40197,0.6,1,<Samp,1.3,1,NoData
40198,<Samp,1,<Samp,1.1,0.8,NoData
40199,0.7,0.9,<Samp,1.2,0.9,NoData
40200,0.8,1.5,NoData,1.6,0.6,NoData
40201,0.8,1.9,NoData,1.5,1,NoData
40202,<Samp,1.4,NoData,1.3,0.8,NoData
40203,0.7,1.3,NoData,1.1,0.8,NoData
40204,0.6,1.3,NoData,1,0.7,NoData
40205,1,1.6,NoData,1.5,1,NoData
40206,0.8,1.6,NoData,1.6,1,NoData
40207,0.8,2.9,NoData,2.4,1.3,NoData
40208,0.7,1.9,NoData,1.4,0.9,NoData
40209,0.6,1.4,NoData,1.1,0.7,NoData
40210,0.8,1.9,NoData,1.5,1,NoData
40211,1,1.9,NoData,1.5,0.8,NoData
40212,1.1,1.8,NoData,1.5,1,NoData
40213,0.8,1.4,NoData,1.1,0.6,NoData
40214,0.7,1.3,NoData,0.9,0.7,NoData
40215,0.7,1.4,NoData,1,0.7,NoData
40216,1,1.6,NoData,1.4,1.3,NoData
40217,1,1.9,NoData,1.7,<Samp,NoData
40218,0.9,1.7,NoData,1.5,NoData,NoData
40219,0.8,1.6,NoData,1.4,<Samp,NoData
40220,1.1,1.6,NoData,1.5,0.7,NoData
40221,1,1.8,NoData,1.8,1.2,NoData
40222,0.7,1,NoData,1.3,1,NoData
40223,1.2,1.6,NoData,1.7,1.1,NoData
40224,0.8,2.5,<Samp,1.9,1.2,NoData
40225,0.9,2.2,2.3,1.7,1.2,NoData
40226,0.8,1.4,1.5,1.7,1,NoData
40227,1.2,1.7,1.6,2.3,1.3,NoData
40228,0.7,1.4,1.7,1.6,1,3.1
40229,0.7,1.1,1,1.2,0.9,3.1
40230,0.8,1.3,1,1.4,0.9,3.3
40231,0.8,1.4,1.3,1.6,1.2,NoData
40232,0.8,0.9,0.7,1,1,NoData
40233,0.9,1.1,1,1.3,1,3.2
40234,0.9,1.1,1,1.3,0.9,<Samp
40235,0.9,1.2,1.1,1.4,1,0.6
40236,0.7,0.8,0.7,0.9,0.7,0.5
40237,0.7,0.8,0.8,1,0.8,<Samp
40238,0.7,0.9,0.7,1,0.9,0.5
40239,0.8,1,1,1.1,1,0.6
40240,0.8,1.1,1.1,1.4,1,0.6
40241,0.7,0.9,0.8,1.1,0.8,0.2
40242,0.9,1.1,1,1.4,1,0.8
40243,0.8,1.4,1.2,1.5,1.2,0.6
40244,0.6,1,0.8,1.3,0.9,0.5
40245,1.1,1.1,0.9,1.4,0.9,0.5
40246,1,1.8,2.1,2.2,<Samp,0.5
40247,0.8,0.9,1,1.3,0.9,0.2
40248,1.3,1.3,1,1.5,1.3,0.8
40249,1,2.5,2.2,2.4,1.5,0.7
40250,0.7,1.4,1.1,1.6,1,-0.2
40251,0.7,1,0.7,1.3,0.9,0.7
40252,0.8,2.2,2,2.2,1.4,0.9
40253,0.8,1.2,1,1.3,0.9,<Samp
40254,0.7,0.8,0.7,1,0.7,0.5
40255,0.8,0.9,0.7,1.2,0.8,0.5
40256,0.7,0.9,0.7,1.1,0.8,0.6
40257,0.7,0.9,0.7,1.2,0.8,0.3
40258,0.6,0.9,0.6,1.2,0.8,0.3
40259,0.8,1,0.7,1.4,0.9,0.5
40260,0.7,1,0.7,1.3,0.8,0.5
40261,0.7,1.2,0.8,1.5,1.1,0.6
40262,0.9,1.1,0.8,0.8,0.8,0.5
40263,0.8,0.9,0.7,0.8,0.7,0.5
40264,0.6,1,0.6,1.1,0.8,0.6
40265,0.6,1,0.6,1.1,0.8,0.5
40266,0.8,1.2,1,1.4,0.9,0.7
40267,0.8,0.9,0.6,1.2,0.8,0.3
40268,0.6,0.9,0.5,1.1,0.7,0.4
40269,0.9,1,0.7,1.3,0.8,0.5
40270,1,1.4,0.9,1.6,1.1,0.7
40271,0.8,1.4,0.8,1.5,0.7,0.7
40272,0.6,1.2,0.7,1.3,0.8,0.7
40273,0.7,1,0.6,1.2,0.8,0.8
40274,0.8,0.9,0.6,1.2,0.7,0.5
40275,1,0.9,0.7,1.2,0.7,0.7
40276,0.8,1,0.7,1.1,0.6,0.7
40277,0.9,0.9,0.7,1.1,0.8,0.7
40278,0.8,0.9,0.6,1.1,0.6,0.7
40279,0.9,1,0.6,1.2,0.6,0.7
40280,0.9,1.1,0.8,1.3,0.7,0.8
40281,0.9,0.8,0.6,1,0.6,0.7
40282,1,0.9,0.6,1.2,0.7,0.6
40283,1.2,1,0.7,1.3,0.8,0.6
40284,1.4,1.3,0.7,1.4,0.8,0.6
40285,1.2,1.2,0.7,1.3,0.7,0.6
40286,1,1,0.6,1.3,0.6,0.6
40287,1,1.2,0.7,1.5,0.6,0.6
40288,0.7,1.4,0.8,1.6,1,0.8
40289,0.7,1.7,0.8,1.8,0.6,0.4
40290,0.7,0.9,0.6,1.2,0.7,0.4
40291,0.7,1,0.6,1.1,0.7,0.7
40292,0.6,0.9,0.6,1.1,0.7,0.6
40293,0.6,0.9,0.5,1.1,0.6,0.4
40294,0.8,1.1,0.6,1.3,0.7,0.7
40295,0.8,1,0.7,1.3,0.8,0.8
40296,0.9,1.1,0.6,1.3,0.7,0.6
40297,0.6,0.9,0.6,1,0.8,0.6
40298,0.7,0.9,0.6,1.1,0.7,0.5
40299,0.7,1,0.6,1.2,0.8,0.8
40300,0.6,0.9,0.5,1.2,<Samp,0.6
40301,0.7,0.9,0.6,1.3,<Samp,0.6
40302,0.8,1,0.6,1.3,0.7,0.5
40303,0.7,1,0.6,1.3,1,0.6
40304,0.7,1.1,0.6,1.3,0.9,0.7
40305,0.8,1.1,0.6,1.3,1,0.6
