"סוג: ממוצע, זמן מיצוע: 24 שעות, תקופה: 01/01/2000 00:01 - 08/02/2025 24:00",,,,,,,,,,
,,,,,,,,,,
תאריך ושעה,"ירושלים, רחוב בר אילן","תל אביב-יפו, רחוב יהודה המכבי","בני ברק, רחוב ז'בוטינסקי","בני ברק, כביש 4","ראשון לציון, רחוב הרצל","רעננה, רחוב אחוזה","חיפה, עצמאות חיפה","חיפה, הרצל - בלפור","חיפה, חורב","תל אביב-יפו, רחוב לוינסקי"
,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO
,mg/m³,mg/m³,mg/m³,mg/m³,mg/m³,mg/m³,mg/m³,mg/m³,mg/m³,mg/m³
24:00 01/01/2000,NoData,3.3,3.3,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 02/01/2000,NoData,2.3,2.7,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 03/01/2000,NoData,NoData,2.7,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 04/01/2000,NoData,NoData,2,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 05/01/2000,NoData,NoData,1.4,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 06/01/2000,NoData,<Samp,2,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 07/01/2000,NoData,NoData,1.8,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 08/01/2000,NoData,NoData,2.1,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 09/01/2000,NoData,<Samp,2.8,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 10/01/2000,NoData,NoData,2.5,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 11/01/2000,NoData,<Samp,2.2,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 12/01/2000,NoData,2.7,3.2,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 13/01/2000,NoData,1.7,1.9,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 14/01/2000,NoData,<Samp,1.6,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 15/01/2000,NoData,1.6,1.8,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 16/01/2000,NoData,1.6,1.9,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 17/01/2000,NoData,2.8,3.6,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 18/01/2000,NoData,0.8,1,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 19/01/2000,NoData,1,1.1,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 20/01/2000,NoData,0.9,1,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 21/01/2000,NoData,1.1,1.2,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 22/01/2000,NoData,0.9,1.1,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 23/01/2000,NoData,1.7,3.3,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 24/01/2000,NoData,2.7,4.7,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 25/01/2000,NoData,1.2,1.8,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 26/01/2000,NoData,1.3,2,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 27/01/2000,NoData,1.5,1.9,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 28/01/2000,NoData,1.2,1.7,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 29/01/2000,NoData,0.9,1.2,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 30/01/2000,NoData,2.4,3.6,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 31/01/2000,NoData,2.6,4.5,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 01/02/2000,NoData,2.3,3.1,NoData,NoData,NoData,NoData,NoData,NoData,NoData
