date_time,Jerusalem_Bar_Ilan,TLV_Yehuda_Hamacabi,Bnei_Brak_Jabotinsky,Bnei_brak_highway4,Rishon_Herzl,Ranana_Ahuza,Haifa_downtown,Haifa_Hadar,Haifa_Horev,TLV_Levinsky
40180,0.8,0.8,1.1,1.4,0.9,NoData,NoData,NoData,NoData,NoData
40181,<Samp,1,1.7,1.9,1.1,NoData,NoData,NoData,NoData,NoData
40182,0.7,<Samp,1,1.4,0.9,NoData,NoData,NoData,NoData,NoData
40183,0.7,0.9,0.9,1.3,0.9,NoData,NoData,NoData,NoData,NoData
40184,0.9,1,1,1.6,0.9,NoData,NoData,NoData,NoData,NoData
40185,1,0.8,1.1,1.7,1.5,NoData,NoData,NoData,NoData,NoData
40186,1.4,1.1,2.5,2.7,1.6,NoData,NoData,NoData,NoData,NoData
40187,0.8,1.5,2.5,2.4,1.2,NoData,NoData,NoData,NoData,NoData
40188,1.1,0.6,1.8,2,1,NoData,NoData,NoData,NoData,NoData
40189,1.1,0.9,2.8,2.8,1.7,NoData,NoData,NoData,NoData,NoData
40190,0.7,<Samp,1.7,1.8,1.3,NoData,NoData,NoData,NoData,NoData
40191,0.9,0.7,<Samp,1.6,0.9,NoData,NoData,NoData,NoData,NoData
40192,0.7,0.7,<Samp,1.5,0.8,NoData,NoData,NoData,NoData,NoData
40193,0.9,0.9,1.2,1.4,0.9,NoData,NoData,NoData,NoData,NoData
40194,0.9,1,1.1,1.4,0.8,NoData,NoData,NoData,NoData,NoData
40195,0.8,1,1.5,1.8,1,NoData,NoData,NoData,NoData,NoData
40196,1.1,0.7,1.9,2.2,1.2,NoData,NoData,NoData,NoData,NoData
40197,0.6,1,<Samp,1.3,1,NoData,NoData,NoData,NoData,NoData
40198,<Samp,1,<Samp,1.1,0.8,NoData,NoData,NoData,NoData,NoData
40199,0.7,0.9,<Samp,1.2,0.9,NoData,NoData,NoData,NoData,NoData
40200,0.8,1.5,NoData,1.6,0.6,NoData,NoData,NoData,NoData,NoData
40201,0.8,1.9,NoData,1.5,1,NoData,NoData,NoData,NoData,NoData
40202,<Samp,1.4,NoData,1.3,0.8,NoData,NoData,NoData,NoData,NoData
40203,0.7,1.3,NoData,1.1,0.8,NoData,NoData,NoData,NoData,NoData
40204,0.6,1.3,NoData,1,0.7,NoData,NoData,NoData,NoData,NoData
40205,1,1.6,NoData,1.5,1,NoData,NoData,NoData,NoData,NoData
